file,split,detection_class,detection_id,morphology_class,morphology_id,bbox_xyxy
train/train_000000.jpg,train,Elbow Positive,0,Pathological,8,"99,137,137,154"
train/train_000001.jpg,train,Fingers Positive,1,Greenstick,3,"111,144,149,162"
train/train_000002.jpg,train,Forearm Fracture,2,Oblique,7,"93,89,131,129"
train/train_000003.jpg,train,Humerus,3,Longitudinal,6,"103,82,119,154"
train/train_000004.jpg,train,Humerus Fracture,4,Pathological,8,"114,107,150,128"
train/train_000005.jpg,train,Shoulder Fracture,5,Hairline,4,"104,117,164,137"
train/train_000006.jpg,train,Wrist Positive,6,Longitudinal,6,"121,68,137,150"
train/train_000007.jpg,train,Elbow Positive,0,Longitudinal,6,"137,84,153,144"
train/train_000008.jpg,train,Fingers Positive,1,Comminuted,1,"118,101,162,117"
train/train_000009.jpg,train,Forearm Fracture,2,Comminuted,1,"97,89,131,105"
train/train_000010.jpg,train,Humerus,3,Impacted,5,"91,109,137,126"
train/train_000011.jpg,train,Humerus Fracture,4,Longitudinal,6,"129,104,145,204"
train/train_000012.jpg,train,Shoulder Fracture,5,Greenstick,3,"91,126,161,146"
train/train_000013.jpg,train,Wrist Positive,6,Avulsion,0,"126,155,160,174"
train/train_000014.jpg,train,Elbow Positive,0,Impacted,5,"113,159,151,181"
train/train_000015.jpg,train,Fingers Positive,1,Greenstick,3,"84,152,138,169"
train/train_000016.jpg,train,Forearm Fracture,2,Avulsion,0,"91,94,131,115"
train/train_000017.jpg,train,Humerus,3,Impacted,5,"105,160,147,179"
train/train_000018.jpg,train,Humerus Fracture,4,Pathological,8,"105,139,145,160"
train/train_000019.jpg,train,Shoulder Fracture,5,Oblique,7,"89,96,147,136"
train/train_000020.jpg,train,Wrist Positive,6,Longitudinal,6,"113,88,129,158"
train/train_000021.jpg,train,Elbow Positive,0,Hairline,4,"109,64,153,82"
train/train_000022.jpg,train,Fingers Positive,1,Avulsion,0,"111,121,153,138"
train/train_000023.jpg,train,Forearm Fracture,2,Oblique,7,"118,132,168,172"
train/train_000024.jpg,train,Humerus,3,Impacted,5,"97,78,157,98"
train/train_000025.jpg,train,Humerus Fracture,4,Fracture-Dislocation,2,"98,123,132,143"
train/train_000026.jpg,train,Shoulder Fracture,5,Hairline,4,"103,87,149,104"
train/train_000027.jpg,train,Wrist Positive,6,Pathological,8,"103,92,137,110"
train/train_000028.jpg,train,Elbow Positive,0,Longitudinal,6,"108,62,124,162"
train/train_000029.jpg,train,Fingers Positive,1,Hairline,4,"99,165,143,187"
train/train_000030.jpg,train,Forearm Fracture,2,Comminuted,1,"98,123,156,139"
train/train_000031.jpg,train,Humerus,3,Impacted,5,"98,170,148,186"
train/train_000032.jpg,train,Humerus Fracture,4,Fracture-Dislocation,2,"88,97,136,114"
train/train_000033.jpg,train,Shoulder Fracture,5,Comminuted,1,"128,99,162,115"
train/train_000034.jpg,train,Wrist Positive,6,Oblique,7,"116,123,154,163"
train/train_000035.jpg,train,Elbow Positive,0,Pathological,8,"94,79,150,95"
train/train_000036.jpg,train,Fingers Positive,1,Spiral,9,"96,91,134,131"
train/train_000037.jpg,train,Forearm Fracture,2,Spiral,9,"91,129,149,169"
train/train_000038.jpg,train,Humerus,3,Spiral,9,"111,145,147,185"
train/train_000039.jpg,train,Humerus Fracture,4,Spiral,9,"96,92,144,132"
train/train_000040.jpg,train,Shoulder Fracture,5,Comminuted,1,"102,117,168,133"
train/train_000041.jpg,train,Wrist Positive,6,Avulsion,0,"101,77,143,94"
train/train_000042.jpg,train,Elbow Positive,0,Hairline,4,"123,124,169,143"
train/train_000043.jpg,train,Fingers Positive,1,Oblique,7,"89,64,149,104"
train/train_000044.jpg,train,Forearm Fracture,2,Oblique,7,"113,69,179,109"
train/train_000045.jpg,train,Humerus,3,Pathological,8,"102,149,138,167"
train/train_000046.jpg,train,Humerus Fracture,4,Greenstick,3,"106,111,152,132"
train/train_000047.jpg,train,Shoulder Fracture,5,Fracture-Dislocation,2,"103,123,149,145"
train/train_000048.jpg,train,Wrist Positive,6,Impacted,5,"122,124,170,143"
train/train_000049.jpg,train,Elbow Positive,0,Oblique,7,"96,115,142,155"
train/train_000050.jpg,train,Fingers Positive,1,Avulsion,0,"93,128,143,149"
train/train_000051.jpg,train,Forearm Fracture,2,Pathological,8,"89,138,131,156"
train/train_000052.jpg,train,Humerus,3,Hairline,4,"117,77,155,97"
train/train_000053.jpg,train,Humerus Fracture,4,Impacted,5,"98,95,148,116"
train/train_000054.jpg,train,Shoulder Fracture,5,Comminuted,1,"103,81,163,97"
train/train_000055.jpg,train,Wrist Positive,6,Comminuted,1,"123,146,167,162"
train/train_000056.jpg,train,Elbow Positive,0,Avulsion,0,"110,90,154,109"
train/train_000057.jpg,train,Fingers Positive,1,Oblique,7,"113,89,171,129"
train/train_000058.jpg,train,Forearm Fracture,2,Spiral,9,"116,144,172,184"
train/train_000059.jpg,train,Humerus,3,Greenstick,3,"121,101,165,119"
train/train_000060.jpg,train,Humerus Fracture,4,Pathological,8,"96,126,156,145"
train/train_000061.jpg,train,Shoulder Fracture,5,Avulsion,0,"114,72,162,94"
train/train_000062.jpg,train,Wrist Positive,6,Spiral,9,"126,91,162,131"
train/train_000063.jpg,train,Elbow Positive,0,Spiral,9,"104,70,148,110"
train/train_000064.jpg,train,Fingers Positive,1,Oblique,7,"116,155,162,195"
train/train_000065.jpg,train,Forearm Fracture,2,Fracture-Dislocation,2,"83,137,137,158"
train/train_000066.jpg,train,Humerus,3,Greenstick,3,"105,162,143,181"
train/train_000067.jpg,train,Humerus Fracture,4,Fracture-Dislocation,2,"100,137,138,158"
train/train_000068.jpg,train,Shoulder Fracture,5,Avulsion,0,"84,126,140,148"
train/train_000069.jpg,train,Wrist Positive,6,Pathological,8,"108,123,148,144"
train/train_000070.jpg,train,Elbow Positive,0,Comminuted,1,"100,162,148,178"
train/train_000071.jpg,train,Fingers Positive,1,Impacted,5,"108,140,142,160"
train/train_000072.jpg,train,Forearm Fracture,2,Greenstick,3,"93,155,139,176"
train/train_000073.jpg,train,Humerus,3,Pathological,8,"111,75,145,97"
train/train_000074.jpg,train,Humerus Fracture,4,Pathological,8,"125,108,163,129"
train/train_000075.jpg,train,Shoulder Fracture,5,Greenstick,3,"102,157,166,179"
train/train_000076.jpg,train,Wrist Positive,6,Avulsion,0,"112,101,166,120"
train/train_000077.jpg,train,Elbow Positive,0,Oblique,7,"126,127,160,167"
train/train_000078.jpg,train,Fingers Positive,1,Avulsion,0,"126,163,164,183"
train/train_000079.jpg,train,Forearm Fracture,2,Avulsion,0,"98,80,144,97"
train/train_000080.jpg,train,Humerus,3,Impacted,5,"84,123,136,141"
train/train_000081.jpg,train,Humerus Fracture,4,Impacted,5,"78,123,142,145"
train/train_000082.jpg,train,Shoulder Fracture,5,Avulsion,0,"95,115,129,135"
train/train_000083.jpg,train,Wrist Positive,6,Pathological,8,"119,100,167,116"
train/train_000084.jpg,train,Elbow Positive,0,Hairline,4,"86,81,150,97"
train/train_000085.jpg,train,Fingers Positive,1,Greenstick,3,"85,83,135,99"
train/train_000086.jpg,train,Forearm Fracture,2,Avulsion,0,"103,75,143,91"
train/train_000087.jpg,train,Humerus,3,Pathological,8,"96,100,152,121"
train/train_000088.jpg,train,Humerus Fracture,4,Pathological,8,"113,127,149,146"
train/train_000089.jpg,train,Shoulder Fracture,5,Impacted,5,"97,81,135,100"
train/train_000090.jpg,train,Wrist Positive,6,Impacted,5,"114,170,156,187"
train/train_000091.jpg,train,Elbow Positive,0,Impacted,5,"92,102,138,122"
train/train_000092.jpg,train,Fingers Positive,1,Hairline,4,"92,98,142,117"
train/train_000093.jpg,train,Forearm Fracture,2,Avulsion,0,"120,100,166,119"
train/train_000094.jpg,train,Humerus,3,Impacted,5,"101,82,141,100"
train/train_000095.jpg,train,Humerus Fracture,4,Comminuted,1,"118,110,166,126"
train/train_000096.jpg,train,Shoulder Fracture,5,Fracture-Dislocation,2,"108,73,150,95"
train/train_000097.jpg,train,Wrist Positive,6,Greenstick,3,"106,118,146,138"
train/train_000098.jpg,train,Elbow Positive,0,Fracture-Dislocation,2,"105,87,141,108"
train/train_000099.jpg,train,Fingers Positive,1,Longitudinal,6,"124,106,140,192"
train/train_000100.jpg,train,Forearm Fracture,2,Spiral,9,"94,68,128,108"
train/train_000101.jpg,train,Humerus,3,Avulsion,0,"98,83,146,104"
train/train_000102.jpg,train,Humerus Fracture,4,Hairline,4,"85,97,135,119"
train/train_000103.jpg,train,Shoulder Fracture,5,Avulsion,0,"95,107,135,125"
train/train_000104.jpg,train,Wrist Positive,6,Avulsion,0,"103,118,139,137"
train/train_000105.jpg,train,Elbow Positive,0,Pathological,8,"114,123,172,142"
train/train_000106.jpg,train,Fingers Positive,1,Avulsion,0,"94,115,138,133"
train/train_000107.jpg,train,Forearm Fracture,2,Pathological,8,"86,136,138,158"
train/train_000108.jpg,train,Humerus,3,Spiral,9,"109,120,161,160"
train/train_000109.jpg,train,Humerus Fracture,4,Impacted,5,"100,171,142,190"
train/train_000110.jpg,train,Shoulder Fracture,5,Pathological,8,"118,107,162,127"
train/train_000111.jpg,train,Wrist Positive,6,Oblique,7,"113,99,147,139"
train/train_000112.jpg,train,Elbow Positive,0,Fracture-Dislocation,2,"119,144,169,163"
train/train_000113.jpg,train,Fingers Positive,1,Fracture-Dislocation,2,"96,146,154,167"
train/train_000114.jpg,train,Forearm Fracture,2,Avulsion,0,"113,77,163,96"
train/train_000115.jpg,train,Humerus,3,Avulsion,0,"93,109,141,126"
train/train_000116.jpg,train,Humerus Fracture,4,Avulsion,0,"119,150,155,166"
train/train_000117.jpg,train,Shoulder Fracture,5,Avulsion,0,"95,90,147,111"
train/train_000118.jpg,train,Wrist Positive,6,Avulsion,0,"107,123,161,141"
train/train_000119.jpg,train,Elbow Positive,0,Comminuted,1,"111,150,165,166"
train/train_000120.jpg,train,Fingers Positive,1,Hairline,4,"94,118,138,137"
train/train_000121.jpg,train,Forearm Fracture,2,Greenstick,3,"105,142,163,158"
train/train_000122.jpg,train,Humerus,3,Avulsion,0,"116,152,172,170"
train/train_000123.jpg,train,Humerus Fracture,4,Impacted,5,"97,97,159,114"
train/train_000124.jpg,train,Shoulder Fracture,5,Pathological,8,"96,107,136,126"
train/train_000125.jpg,train,Wrist Positive,6,Longitudinal,6,"127,85,143,163"
train/train_000126.jpg,train,Elbow Positive,0,Greenstick,3,"121,146,157,165"
train/train_000127.jpg,train,Fingers Positive,1,Pathological,8,"86,81,134,101"
train/train_000128.jpg,train,Forearm Fracture,2,Comminuted,1,"119,123,157,139"
train/train_000129.jpg,train,Humerus,3,Comminuted,1,"102,111,148,127"
train/train_000130.jpg,train,Humerus Fracture,4,Greenstick,3,"101,130,167,147"
train/train_000131.jpg,train,Shoulder Fracture,5,Spiral,9,"90,89,132,129"
train/train_000132.jpg,train,Wrist Positive,6,Spiral,9,"91,124,135,164"
train/train_000133.jpg,train,Elbow Positive,0,Pathological,8,"100,78,158,95"
train/train_000134.jpg,train,Fingers Positive,1,Longitudinal,6,"135,86,151,172"
train/train_000135.jpg,train,Forearm Fracture,2,Oblique,7,"97,70,143,110"
train/train_000136.jpg,train,Humerus,3,Oblique,7,"108,116,156,156"
train/train_000137.jpg,train,Humerus Fracture,4,Fracture-Dislocation,2,"100,145,146,167"
train/train_000138.jpg,train,Shoulder Fracture,5,Impacted,5,"100,94,148,116"
train/train_000139.jpg,train,Wrist Positive,6,Pathological,8,"90,120,146,139"
train/train_000140.jpg,train,Elbow Positive,0,Greenstick,3,"108,155,162,172"
train/train_000141.jpg,train,Fingers Positive,1,Spiral,9,"107,126,161,166"
train/train_000142.jpg,train,Forearm Fracture,2,Impacted,5,"92,100,156,119"
train/train_000143.jpg,train,Humerus,3,Comminuted,1,"105,142,139,158"
train/train_000144.jpg,train,Humerus Fracture,4,Pathological,8,"112,153,174,173"
train/train_000145.jpg,train,Shoulder Fracture,5,Oblique,7,"109,118,177,158"
train/train_000146.jpg,train,Wrist Positive,6,Spiral,9,"90,89,136,129"
train/train_000147.jpg,train,Elbow Positive,0,Longitudinal,6,"125,84,141,170"
train/train_000148.jpg,train,Fingers Positive,1,Avulsion,0,"100,73,146,90"
train/train_000149.jpg,train,Forearm Fracture,2,Longitudinal,6,"115,69,131,125"
